,paved parking lot,large parking lot,unpaved parking lot,unpaved area with trucks,unpaved area,facility with trucks,airport facilities
number total cells,4.0,0.0,0.0,1.0,6.0,0.0,13.0
percent total cells,0.2666666805744171,0.0,0.0,0.06666667014360428,0.4000000059604645,0.0,0.8666666746139526
number connected components,4.0,0.0,0.0,1.0,2.0,0.0,1.0
percent connected components,0.26666666666666666,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667
