,paved parking lot,unpaved parking lot,large parking lot,facility with trucks,unpaved area with trucks,unpaved area,airport facilities
0_0,0.049498558044433594,0.0,0.0,0.0,0.0,0.16554641723632812,0.0
0_1,0.0,0.039306640625,0.0,0.0,0.0,0.0,0.0
1_0,0.05814361572265625,0.0,0.0,0.0,0.0,0.0,0.0
1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg sum,0.02691054344177246,0.00982666015625,0.0,0.0,0.0,0.04138660430908203,0.0
